,Population,60-64,65-69,70-74,75-79,80-84,85+,MedianAge,NumDoctors
Surrey-Guildford,53070.0,2540.0,1815.0,1295.0,1040.0,645.0,485.0,38.2,40
Surrey-Newton,53495.0,2710.0,2070.0,1505.0,1030.0,675.0,515.0,34.7,45
Surrey-Panorama,55025.0,2945.0,2030.0,1420.0,875.0,575.0,445.0,35.0,45
Surrey-Whalley,53725.0,2725.0,1800.0,1420.0,1125.0,785.0,785.0,37.5,50
Surrey-White Rock,55055.0,4765.0,3665.0,2920.0,2505.0,2345.0,3070.0,51.2,92
Vancouver-Fairview,55380.0,3065.0,1920.0,1375.0,1160.0,900.0,1170.0,37.9,337
Vancouver-False Creek,52565.0,2830.0,1895.0,1235.0,815.0,635.0,490.0,35.8,129
Vancouver-Fraserview,59780.0,3750.0,2275.0,2180.0,1915.0,1450.0,1520.0,41.6,26
Vancouver-Hastings,55990.0,3130.0,1900.0,1860.0,1800.0,1330.0,1005.0,40.5,65
Vancouver-Kensington,57795.0,3140.0,2025.0,1910.0,1750.0,1235.0,945.0,40.0,79
Vancouver-Kingsway,59350.0,3330.0,2050.0,2055.0,1855.0,1295.0,1070.0,39.3,17
Vancouver-Langara,57040.0,3475.0,2235.0,1900.0,1735.0,1510.0,1710.0,42.0,74
Vancouver-Mount Pleasant,54230.0,3060.0,1915.0,1560.0,1300.0,1015.0,1035.0,39.8,115
Vancouver-Point Grey,57010.0,3330.0,2150.0,1450.0,1085.0,940.0,1040.0,37.5,121
Vancouver-Quilchena,56490.0,3835.0,2655.0,2035.0,1660.0,1335.0,1610.0,43.4,59
Vancouver-West End,52230.0,2980.0,2195.0,1520.0,1035.0,835.0,770.0,38.3,108
Vernon-Monashee,61400.0,4590.0,3590.0,2920.0,2360.0,1935.0,1805.0,46.5,114
Victoria-Beacon Hill,53195.0,4085.0,2775.0,1920.0,1675.0,1585.0,2510.0,43.3,207
Victoria-Swan Lake,50110.0,3065.0,1960.0,1500.0,1345.0,1235.0,1745.0,40.4,102
West Vancouver-Capilano,55950.0,3995.0,3240.0,2610.0,2270.0,2125.0,2410.0,47.6,69
West Vancouver-Sea to Sky,52795.0,3155.0,2285.0,1550.0,1100.0,685.0,565.0,39.1,100
